,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
9958,NONE,FQpN4TtyHqPDJMj46u3mle3zDE6gQbpPfXaHudnjYiKnIA,43,1,4,0,0,1,2813,0,0,5978,3325,7,3,15,9,3098,3108,0,1004,1004,1001,3340,Karma
9961,NONE,LMUsglQgp5x0KR8UekL-5bxYkqSR0zkK8SL8jO2gM6ZYPQ,432,6,0,4,6,2,5693,1200,1200,5636,5655,9,2,11,12,2423,3098,3152,3117,2010,2055,3364,Bard
9989,NONE,6uGhHB-HGJeazwG7IRfEYeJgP3TfThCq80rHlxwkjCS-G0Y,99,1,4,1,0,1,4703,0,0,5520,3957,8,2,7,14,1056,1082,3802,1001,0,1026,3364,Lux
10049,NONE,uB2s5QSh20bISU-9-buvySiSMzZljsPKXgfIiS1KYC1VJw,497,2,4,2,0,1,3338,78,78,6249,3940,7,4,19,12,3098,3111,3024,2031,2055,0,3364,Rakan
10098,NONE,cJye3rns9LLKjYdvX1UvuuE2gd8qDjvJVx2Ol_tmEtPDBw,350,2,2,8,2,1,6500,808,426,5292,4957,9,1,10,11,3098,0,1001,1028,3174,0,3364,Yuumi
10483,NONE,OlPUAKLM9lPNqHt7aOB7wxvR6lcZQz2O6A84LT3CD9g_5Q,25,0,5,0,0,0,3616,371,371,6931,3483,7,1,12,30,3092,2424,3117,0,0,0,3364,Morgana
10574,NONE,kF5NKyhOtohGag9Iw_QP7h4sj3N03imfqS_1ghFS3t4Lcg,43,3,5,15,0,1,8164,2897,1754,7664,7001,11,8,31,21,3098,3117,3107,2055,1082,3174,3364,Karma
10583,NONE,FvJCVlhTP4UYS7eaGiGWhp6LQpx7qEcJfWG3mhtNBE46oJipJYCtGE9h,99,1,0,9,0,1,4889,872,0,3775,4539,7,5,28,30,3092,3117,2031,3108,2055,0,3364,Lux
10600,NONE,jLee-XcvE9FA_4Vy4PU_-TZUOiXZcxxz3QjXKE8qnUQKHg,555,0,3,1,0,0,1025,0,0,7276,3228,8,0,8,4,3117,1036,1028,3097,1036,0,3340,Pyke
10684,NONE,wwaj-8ePgSPl_eYPzp_Ju_CXcduVEplacgoEVVIdudnyIiQ,161,3,2,1,3,1,7577,1358,351,3711,6242,9,1,7,12,1056,2423,1001,3802,1052,1026,3340,Velkoz
10696,NONE,JkFEyYgF-P63SIPaXOxL_p2-X2leL3X7uV8t3ar4jD1pIVk,555,8,0,2,8,1,10022,1329,1329,10304,7940,11,3,14,19,3134,3142,3077,3117,1036,1054,3340,Pyke
10762,NONE,Xi8LusTK1Yc29HVX9Dr9Rc25Esue8M7m5I0rnGuCifDNJQ,117,1,0,8,0,1,4702,3836,3452,2644,5934,9,2,8,15,3117,2055,3098,3113,1004,3174,3364,Lulu
10820,NONE,c6LMYKMTZess7WbsG8DnYis38dYZF9_MZOpJg090mKK4IFQ,497,0,1,3,0,0,1596,0,0,5466,3298,7,4,13,8,2055,2031,3096,3117,3113,0,3364,Rakan
10838,NONE,8eLMV5x_2ECcx2aKrf3W5EkrYsvsPlZMTRElw_yJcSEb62U,12,0,4,0,0,0,1593,0,0,5000,2558,6,3,16,11,3117,2031,2010,0,3097,0,3364,Alistar
10840,NONE,R1mFV1yAe4ud6mV38Jj_zBbgM00qkftxcw8IWhRGOYKKUmvCHe_spwCm,99,8,3,8,5,1,11550,3431,2182,5813,7497,10,2,26,31,3285,0,3098,2422,0,3041,3364,Lux
10863,NONE,8eLMV5x_2ECcx2aKrf3W5EkrYsvsPlZMTRElw_yJcSEb62U,111,1,8,3,0,1,5024,145,90,11807,5140,9,2,19,30,3117,3401,3024,3801,0,0,3364,Nautilus
10928,NONE,eu1t2Y_kPJIVvFBV-al4zgM0usKGZz6FmU9ebx5JVGQtcls,43,1,2,2,0,1,2081,0,0,3368,2761,5,1,6,6,2031,3098,0,1004,1004,3117,3340,Karma
10929,NONE,WzGnsr5A5j9Je1zdXOEwRwmZ5H5ro2FAdZ0Djec8qV8J9BM,432,1,2,5,0,1,2980,1725,1725,3736,4673,7,2,10,7,3092,3117,1028,2055,2003,0,3364,Bard
10958,NONE,CK5xqwbuJ_ZfCRhrWRI9321Yu_xYq-IrkNKrCDVKgQ_A7js,44,1,2,5,0,1,3149,922,922,10367,4945,8,3,6,13,3097,3001,1001,2055,0,0,3364,Taric
11019,NONE,x1xSB0tdcYMEAGRS9LbrcNlacOwmvZDigcSEFX5Wv2_SGw,40,0,0,3,0,0,463,0,0,0,931,1,0,2,0,3303,2003,2010,0,0,0,3340,Janna
11039,NONE,mvc7NdHYRlRdoRO0ICALa99JU-776jdJj6bVAJ0K0gyTlw,99,2,2,10,2,2,4643,125,0,5714,4714,9,3,24,25,3108,3098,1082,3117,0,0,3364,Lux
11051,NONE,t8vdTfp3opWjJAzFdEZK_aIMqDNJFpfUQUc9bqqfAqJYHg,44,4,4,12,2,1,7410,931,931,19505,7116,11,5,26,26,3401,3047,3109,1004,0,1004,3364,Taric
11053,NONE,duOq3QnkzVutwdmjfZIFBScQ9ZNEUJ6QxOTU9X6hqkFuNQ,412,2,2,10,2,1,4853,1096,1096,6710,4722,9,6,17,22,1029,3069,3117,3105,2055,1027,3364,Thresh
11220,NONE,G1cyrzM1z1PtCw3TlWyzM76__SMCd8WniGz8wCZwi4S5Bw4,16,0,2,2,0,0,2334,692,692,5985,3979,8,4,21,15,3098,2031,2055,3801,3114,1033,3364,Soraka
11239,NONE,ZKiIoF7YjEyZkS-cT1A8L4uFLGwWLi7G1_jjCm3UZTJnqSE,432,6,1,14,5,2,7930,2833,2833,5550,6728,9,1,22,23,3041,3905,3098,3117,0,0,3364,Bard
11295,NONE,B_3SBMyCbZxWj6ErTGqyvEkNIDTrPyAYESGztoLOWkosxpw,99,1,3,4,0,1,7980,4830,4830,6574,6972,10,0,3,19,2031,1056,3285,3020,1028,1052,3340,Lux
11361,NONE,oh1anyegIC24O6wtOsnkbJd9JaPrSkYQUmqFPhSws8gAow,497,3,3,6,2,1,5741,0,0,7822,5614,9,4,10,16,0,2055,3050,3092,3117,0,3364,Rakan
11457,NONE,sVzWvJw1rbyU4NYXluqdxzTSNRsR6Pzt6rcOEXyAXoSdwg,99,1,8,2,0,1,3578,320,320,7869,4531,9,5,19,21,3098,3028,1052,3117,1082,0,3364,Lux
11463,NONE,gLyFB0gN8UbPY-VZlRb7fxU97zpuzSDdQi814juF9TnrEz8,412,1,1,7,0,1,3297,5095,4499,3111,5517,8,3,20,16,3069,0,3105,3117,0,0,3364,Thresh
11471,NONE,7SHrtQl29XCZRP-a048rWyZLcFngaLI6hq06eXmSd9pAog,412,1,3,10,0,1,3163,564,564,6432,5222,9,4,31,16,0,0,3096,1028,3050,3117,3364,Thresh
11527,NONE,l16rNG7e3jWtOOZWpwzYTYMeBbuANzbXZ4T_STCjRORYWA,40,1,4,5,0,1,4442,351,0,5864,3746,8,3,17,12,2031,3092,1082,3117,0,2055,3364,Janna
11587,NONE,1MHQazyW-k5LTpaIW632S00My1FlwQ-Uma5odcE9WO8LyA,555,3,6,1,2,1,6087,0,0,14144,5056,9,1,9,12,3077,2031,3134,3117,1054,1036,3340,Pyke
11673,NONE,20Y46NhWRV7X9qcy8MXED3p7nx3CngLCZ-1wjy3wfhFN9A,99,1,1,4,0,1,4043,533,533,3636,3843,8,2,21,17,3098,3174,1001,0,0,0,3364,Lux
11686,NONE,y2PpYvezo47sA65u53iBNtg6vS48al5Zak7scCOXaEobHKAVkBQ0uL55,25,0,1,1,0,0,2127,0,0,4147,3342,9,1,2,7,2424,3117,2055,3108,3098,1082,3340,Morgana
11703,NONE,ph4f527t_Thv0SI4bbuw2jd6M3Uz1q4Q0Rjvzl--91iLUV8,201,0,1,1,0,0,1437,0,0,6096,2876,8,2,9,8,3401,2055,0,2422,0,1029,3364,Braum
11727,NONE,wg2pjfETO6Mc5SCSPtsdN_ZNu9F9sYPA9XW_8orRlOIMIdI,43,0,0,7,0,0,3794,3304,3304,3182,4179,7,1,12,7,3098,0,3113,1004,1004,1001,3340,Karma
11767,NONE,4R-rJ-MxvhcNwlenjhO1DHBX9i-VIhbC7fNvDFwNMDU4ww,40,0,2,13,0,0,7099,1191,908,8033,5578,11,1,25,40,3092,3107,1052,0,3117,0,3364,Janna
11782,NONE,VIvrg4gCbK_MSSbxZ-6Jn0Ll2EM3FEpM9e6KT9weJEnaJd8,555,2,3,6,2,1,4301,0,0,7938,4389,8,2,10,11,3097,3134,3117,2055,3133,0,3340,Pyke
11791,NONE,Py-O5RM2kab6fr6NCzOhqffOJYGtdK5BR-jb_XUZnoj9hD8,16,0,1,6,0,0,1878,2622,2622,1495,3707,5,1,6,12,3098,0,0,0,0,0,3340,Soraka
11880,NONE,5ADgnYTb78w3jwkq8IhujFq78r-_jpMcxaLphg7aNsTFRw,53,0,3,9,0,0,4997,1222,1222,8385,4756,8,2,13,22,3097,2031,1027,3117,1029,1028,3364,Blitzcrank
11889,NONE,Uf2V9pT3PoSd1Kh4r6D5hwqvjJGbtGkmAbt6_qWeuNt8Cw,63,2,1,5,2,1,5706,2951,1929,4470,5051,8,2,19,9,0,3098,3916,1052,2055,3117,3364,Brand
12188,NONE,kdP06oAxXgLhGNyqlfjqfRBU61LJ1Mc9bQMaJu3bHYYKZnU,43,2,1,7,2,1,5546,4237,2152,5103,6938,12,2,13,17,3285,1056,3020,1082,3114,0,3340,Karma
12303,NONE,iu6kJ-OMgujMs8YxifjErYUmlAWLeKFVsygnQ4KdnUQpAQ,43,4,2,7,4,2,7245,1732,1397,6051,6495,9,3,31,10,3113,3098,2055,3117,3114,3174,3364,Karma
12417,NONE,GvcO5uMhYaU12N8hUdH9prZy6AlRzcryFj9mrrfaBJtp8I0,99,1,2,5,0,1,3064,1715,1580,4610,4867,9,2,13,23,3098,3802,1026,1001,2055,0,3364,Lux
