,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
3297,JUNGLE,41SI3lr07mf1Xzft-jl3yujfvWpJVroNCh4J3dExAlhtdg,77,3,10,3,0,1,11553,30109,5372,30009,10538,14,5,30,21,3078,2031,3077,1400,1053,3047,3364,Udyr
3304,JUNGLE,5v1BRVW9FbUUY88J-srNEVs16T1d1eUWxICnqFnLR6cptg,64,3,5,6,2,1,9760,37969,4786,26236,9698,13,1,19,14,1412,2031,3077,3067,3044,0,3340,LeeSin
3310,JUNGLE,-xtvc9b3_Kj9qXMocmbgdOzlHUntMz1xBWWK6zgWTFva_Q,35,1,9,5,0,1,11340,6698,0,28116,9408,15,0,37,24,1041,3147,3117,3077,3078,0,3340,Shaco
3323,JUNGLE,6ltVqVNnOZQMy3B3AYXHWEETA-Yn4JSJY5bt78Y0mYDKcDk,64,11,7,4,5,2,14690,8707,1787,21491,10180,11,10,20,19,1412,3111,3155,2421,2055,3071,3340,LeeSin
3324,JUNGLE,9_aSYKp66HMJhlccQ149UYoqLUUZvbD6bzGPEuCqT9oBDktdasfCM3LN,28,9,8,7,2,1,22716,5641,824,25544,12296,15,0,18,22,1402,1058,3020,3041,3100,1058,3340,Evelynn
3325,JUNGLE,nviEzmJA1mpxBOj2IEq7bHMhAv88FlEz_F9dutRHg3WmqJk,59,4,12,18,2,1,19144,16268,614,54283,15428,18,0,39,23,3748,3193,3211,3071,1400,3111,3340,JarvanIV
3329,JUNGLE,_7LWWa5b3_4xPhna4nrnqTqksSwz-IyNR_b-sOFSanu8ihR7cJZPW9Jv,121,14,3,6,6,2,30565,14095,258,35537,15022,17,2,32,13,3142,3047,1412,3147,3036,3134,3340,Khazix
3333,JUNGLE,W8PEepRK6lYE-CByBQ4fk4OBmP-y4aDkFoCSwmzMXP62eA,113,4,2,5,2,1,10704,2961,0,29894,9155,13,4,17,27,1401,0,3083,3047,1031,3067,3364,Sejuani
3334,JUNGLE,QIftncv6IA1QUiJJOlBoe44OWbfxBGrHrpnLlucL6BqgFg,59,7,10,9,3,1,11506,4129,1958,34463,11479,14,5,21,18,0,1400,3193,3071,1011,3047,3364,JarvanIV
3347,JUNGLE,wc2bxJx1V7WBrEILCIqH2cgWvjjCnKuBnUYh9pnG-PeVKIeyJyABeODb,32,2,8,9,0,1,11031,7247,0,26889,9332,14,0,16,34,1402,3020,3116,3136,1026,0,3340,Amumu
