,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
4586,MIDDLE,rCBKqv3ZbuOz0PQ2lISArlt2O4ujpbFSkfF03vfj3biL530,518,4,9,9,0,1,18419,5888,3068,17236,10890,13,4,27,55,3905,3030,3157,1026,0,3020,3363,Neeko
4587,MIDDLE,J5jFHez1PdfG0kl_-5-nBRri_8A3eCJI1__YtWdqscjW1-M,45,11,2,10,7,1,33748,20042,8464,12650,15731,17,1,25,35,3117,3089,3102,3135,3285,0,3340,Veigar
4598,MIDDLE,pP44W3cA2hy4MhtV81imMaVKhD91iExN4dx27wko2aSqX7o,84,14,7,11,5,2,35685,1521,1521,30078,13958,16,3,25,11,3146,3135,3165,3157,3020,0,3364,Akali
4617,MIDDLE,TMH2-jL-LwLNyNHzjOlg1YVEhaGbnMW3aCM7WucIoPb3R3Y,157,12,5,12,5,2,33919,8414,3860,29711,17539,18,4,34,41,3123,3026,3087,3053,3031,3006,3340,Yasuo
4621,MIDDLE,TMH2-jL-LwLNyNHzjOlg1YVEhaGbnMW3aCM7WucIoPb3R3Y,157,1,5,7,0,1,11901,1780,1276,15646,8445,13,2,19,19,3031,0,1055,3006,3087,1055,3340,Yasuo
4678,MIDDLE,rJgVbavpVsBtVfCJQHG75jwU53feVDfMaajQa5kuNzot4pM,238,6,6,3,3,2,14798,11573,11212,15156,11663,14,4,14,4,3147,3142,2055,3111,1037,3134,3340,Zed
4705,MIDDLE,NPSBiM66QZlfpSbjh1P-h6LiMI6hALoaiawz1WSRya_mCuI,142,3,2,7,2,1,14007,9854,5241,8082,9168,14,1,20,23,2033,1026,1082,3020,3157,3802,3363,Zoe
4712,MIDDLE,5UWVvJBY2wM2vflTShcQfx7hEgLBOKvBOIM_yX6P5X9CTJ8,61,2,6,17,0,1,40545,7904,2002,21930,15349,18,4,46,26,3089,3285,3174,3165,3041,3020,3340,Orianna
4737,MIDDLE,yZWQySnMHI0yGRevPdkFYJ5LTB6rQYurTeDDuyvm2cAkkQ,246,5,5,0,2,1,12547,2871,2871,13430,9080,12,2,20,20,3077,2033,3134,3133,3147,3117,3340,Qiyana
4740,MIDDLE,G7_beGOtG-Att1gVud47LKfmoGnBpQu9FSoVq5ld7PhwAIQ,157,4,5,0,2,1,6799,3035,0,14395,8704,12,1,16,9,1055,1055,3031,3006,3087,0,3340,Yasuo
4770,MIDDLE,5hdtcQJxQIxhBgy1JZabLiVvmZaC6WbFQGXKbEfA3971yw,268,5,6,6,2,1,13010,2258,0,15160,8984,13,4,19,12,0,3165,3020,3115,1052,1056,3363,Azir
4776,MIDDLE,G4fmnU7si53i8ZfqIbZvpxsEb1Md5dpmsN3fadbgwB2EVlY_O_XuZwZG,142,0,4,5,0,0,6932,4681,254,12056,7802,13,6,22,11,2031,1052,1402,3111,3165,0,3363,Zoe
